Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimised_parameters
refugia_adj_2	Round_2_Replicate_7	-18630.93	37277.86	9075186.26	287.04	18.3118,0.7954,0.2088,2.7694,1.8097,0.9336,4.0921,1.0421
refugia_adj_2	Round_2_Replicate_8	-12466.53	24949.06	3194908.18	396.39	2.7027,1.6659,1.2667,0.5504,4.5966,0.4653,3.3892,3.4824
refugia_adj_2	Round_2_Replicate_9	-16284.87	32585.74	3897529.32	307.98	5.5199,1.0038,1.3348,2.0257,2.6459,0.7278,1.657,2.7164
refugia_adj_2	Round_2_Replicate_10	-12239.99	24495.98	430597960.07	310.09	8.9893,0.6624,0.7111,2.3267,17.5731,0.1647,1.8633,5.7153
refugia_adj_2	Round_3_Replicate_1	-15187.18	30390.36	73757.91	610.58	3.2943,1.4966,0.1197,0.2779,0.6658,1.1605,1.4086,3.778
refugia_adj_2	Round_3_Replicate_2	-11813.37	23642.74	36390.7	554.12	3.0294,1.5941,0.2622,0.3474,0.812,0.7591,1.497,6.5856
refugia_adj_2	Round_3_Replicate_3	-15376.55	30769.1	122806.02	526.92	4.7342,1.5296,0.1236,0.3083,0.9255,0.3546,1.2631,7.3351
refugia_adj_2	Round_3_Replicate_4	-10895.33	21806.66	38200.64	614.41	2.3182,2.3932,0.3444,0.8097,2.104,1.0117,0.87,2.6592
refugia_adj_2	Round_3_Replicate_5	-9933.23	19882.46	21843.0	659.11	1.4994,2.7768,0.3958,0.4127,0.9142,0.8391,0.8747,7.1444
refugia_adj_2	Round_3_Replicate_6	-11516.88	23049.76	39696.27	570.17	3.0462,2.9352,0.2544,0.8809,2.1219,0.9768,1.9937,5.8807
refugia_adj_2	Round_3_Replicate_7	-10613.03	21242.06	24537.6	612.67	2.1002,1.5599,0.2993,0.5248,0.9936,0.9234,1.3305,5.5382
refugia_adj_2	Round_3_Replicate_8	-10990.98	21997.96	32139.99	705.09	1.3186,1.449,0.2263,0.8504,1.2586,1.0436,1.5879,7.4992
refugia_adj_2	Round_3_Replicate_9	-10722.46	21460.92	25542.28	619.25	2.7758,2.761,0.255,0.6619,2.1121,0.9209,1.7347,6.5526
refugia_adj_2	Round_3_Replicate_10	-10037.44	20090.88	32441.63	553.48	3.0478,2.2268,0.3148,0.5569,2.3258,0.3403,1.0734,8.4141
refugia_adj_2	Round_3_Replicate_11	-10402.93	20821.86	35183.77	815.95	1.3025,1.3035,0.1642,0.5405,2.0878,0.4022,0.8966,7.1265
refugia_adj_2	Round_3_Replicate_12	-10461.63	20939.26	29344.45	674.46	1.3527,1.8385,0.176,1.0451,2.229,0.42,2.1468,4.2306
refugia_adj_2	Round_3_Replicate_13	-11133.61	22283.22	28630.93	925.1	1.4481,2.0627,0.1581,0.3483,1.3784,1.302,0.9801,7.2969
refugia_adj_2	Round_3_Replicate_14	-11484.74	22985.48	45702.46	642.23	2.3136,4.9357,0.235,0.7293,2.0635,1.2712,2.1802,3.4937
refugia_adj_2	Round_3_Replicate_15	-10773.94	21563.88	31220.18	541.81	2.708,3.8011,0.2865,0.4823,0.9386,0.5133,1.1803,7.7014
split_nomig	Round_1_Replicate_1	-24088.29	48188.58	1435832.61	825.27	0.3954,3.9143,0.3585,3.6063,0.1965,0.303
split_nomig	Round_1_Replicate_2	-31961.1	63934.2	-7.0079896189e+12	583.67	0.124,6.0326,0.767,2.0683,0.4821,2.1281
split_nomig	Round_1_Replicate_3	-42821.88	85655.76	-1.61842685369e+17	256.83	0.1766,0.8118,0.8712,6.8678,5.1662,4.2589
split_nomig	Round_1_Replicate_4	-23038.78	46089.56	672438.26	557.94	3.3879,1.102,0.5232,0.4058,1.632,0.2415
split_nomig	Round_1_Replicate_5	-19865.02	39742.04	413696.99	713.55	0.6674,3.9116,1.2888,0.6619,0.7779,0.4114
split_nomig	Round_1_Replicate_6	-22864.65	45741.3	1262576.21	1144.73	0.3426,0.1424,3.3218,0.1545,0.1383,0.3469
split_nomig	Round_1_Replicate_7	-35899.38	71810.76	-2.76361009572e+20	215.36	3.5033,0.6953,0.4147,1.6318,6.7298,8.3561
split_nomig	Round_1_Replicate_8	-57569.87	115151.74	6535853626.96	358.51	1.2095,1.5546,0.3822,4.5132,1.8486,2.5374
split_nomig	Round_1_Replicate_9	-39318.21	78648.42	67784037.33	734.12	1.7181,0.3983,0.5078,2.5207,1.5379,0.1482
split_nomig	Round_1_Replicate_10	-57786.36	115584.72	1.23577314216e+11	486.41	2.6027,0.8822,0.4702,0.4226,0.4279,3.1644
split_nomig	Round_2_Replicate_1	-34066.37	68144.74	14043330.86	526.07	0.5375,1.5475,3.1167,0.983,1.3212,0.9842
split_nomig	Round_2_Replicate_2	-15215.5	30443.0	132540.21	853.43	1.6744,5.1513,0.4825,0.2849,0.453,0.3384
split_nomig	Round_2_Replicate_3	-57637.29	115286.58	7895779488.88	585.96	0.2905,3.1479,2.1081,0.3128,2.82,0.3615
split_nomig	Round_2_Replicate_4	-22230.69	44473.38	838368.76	504.82	1.4953,2.8594,0.9865,1.815,1.3027,0.5952
split_nomig	Round_2_Replicate_5	-11089.8	22191.6	30794.12	911.2	1.8439,13.8224,0.9043,0.2486,0.1783,0.156
split_nomig	Round_2_Replicate_6	-20157.22	40326.44	3082452.87	452.96	1.4363,9.7043,2.5706,2.1209,0.6982,0.3582
split_nomig	Round_2_Replicate_7	-17016.79	34045.58	298862.32	675.99	1.168,7.3787,2.5984,0.2663,0.2578,0.5786
split_nomig	Round_2_Replicate_8	-16794.2	33600.4	168073.49	1290.67	0.2729,1.3494,0.667,0.3727,0.211,0.2086
split_nomig	Round_2_Replicate_9	-21375.39	42762.78	558991.99	459.69	1.3777,1.892,3.1891,1.9762,0.9196,0.652
split_nomig	Round_2_Replicate_10	-30966.38	61944.76	7633790.59	567.76	0.4811,3.2219,1.7344,1.3612,0.4384,1.4261
split_nomig	Round_3_Replicate_1	-12676.38	25364.76	65275.41	1009.86	1.1144,23.9012,0.5273,0.1651,0.3249,0.1925
split_nomig	Round_3_Replicate_2	-11638.56	23289.12	40288.34	852.01	1.6949,10.9197,1.2994,0.1879,0.2257,0.1745
split_nomig	Round_3_Replicate_3	-11351.25	22714.5	34257.36	918.36	1.1387,11.0945,1.5551,0.3041,0.1346,0.187
split_nomig	Round_3_Replicate_4	-11982.33	23976.66	44881.99	891.32	3.0026,15.4207,0.813,0.1835,0.137,0.2017
split_nomig	Round_3_Replicate_5	-11483.21	22978.42	37836.04	872.6	1.5503,17.1395,0.7288,0.1949,0.322,0.1455
split_nomig	Round_3_Replicate_6	-11970.05	23952.1	41542.89	872.5	1.4825,8.5978,0.829,0.4778,0.1867,0.2563
split_nomig	Round_3_Replicate_7	-12173.09	24358.18	58925.22	983.31	1.5455,17.5811,0.8578,0.1612,0.1398,0.232
split_nomig	Round_3_Replicate_8	-11757.74	23527.48	39483.09	827.0	1.8416,8.9601,0.7464,0.29,0.3166,0.1434
split_nomig	Round_3_Replicate_9	-11977.02	23966.04	45487.49	854.09	2.6652,25.398,1.2981,0.2943,0.1354,0.1478
split_nomig	Round_3_Replicate_10	-11674.98	23361.96	38270.44	919.93	0.9818,7.9153,1.3718,0.3818,0.1428,0.2241
split_nomig	Round_3_Replicate_11	-11869.66	23751.32	39141.04	761.09	2.5121,19.1963,1.6617,0.2981,0.192,0.1983
split_nomig	Round_3_Replicate_12	-10933.57	21879.14	31355.37	1041.07	0.9672,17.7483,1.1309,0.1523,0.146,0.1184
split_nomig	Round_3_Replicate_13	-12936.67	25885.34	56287.52	840.54	1.7417,7.0432,0.5256,0.4462,0.3288,0.2372
split_nomig	Round_3_Replicate_14	-11251.57	22515.14	35889.69	1024.86	0.9211,15.3561,0.8881,0.337,0.1382,0.1555
split_nomig	Round_3_Replicate_15	-10494.75	21001.5	27345.83	1106.59	1.0247,14.2545,0.7288,0.1663,0.1411,0.1225
split_symmig_adjacent	Round_1_Replicate_1	-10078.03	20174.06	27619.79	1154.52	0.9135,0.3756,0.2036,0.3861,0.5096,1.9496,0.2999,1.6652,0.2032
